Antigua and Barbuda,95,3,91
South Ossetia,90,0,90
British Virgin Islands,63,1,10
Saint Vincent,62,0,58
Northern Mariana Islands ,59,2,19
Macau,46,0,46
Fiji,32,2,24
East Timor,27,0,25
Saint Lucia,27,0,26
New Caledonia,26,0,23
Dominica,24,0,18
Grenada,24,0,24
Laos,22,0,21
Saint Kitts and Nevis,17,0,17
Greenland,14,0,14
Falkland Islands,13,0,13
Montserrat,13,1,12
MS Zaandam,13,4,No data
Coral Princess,12,3,No data
Vatican City,12,0,12
Saint Pierre and Miquelon,9,0,5
HNLMS Dolfijn,8,0,8
Bonaire,5,0,5
Saba,5,0,5
Anguilla,3,0,3
Sint Eustatius,2,0,2
Tanzania,No data,No data,No data
Global,27897904,904364,18797729
United States,6455638,193834,3509002
India,4465863,75062,3471783
Brazil,4202191,128694,3453336
Russia,1046370,18263,862373
Peru,702776,30236,536959
Colombia,686851,22053,552885
Mexico,647507,69095,454982
South Africa,642431,15168,569935
Spain,543379,29628,No data
Argentina,512280,10658,366577
Chile,427027,11702,399555
Iran,395488,22798,340842
United Kingdom,355219,41594,No data
France,344101,30794,88226
Bangladesh,332970,4634,233550
Saudi Arabia,323012,4165,298966
Pakistan,299855,6365,287950
Turkey,284943,6837,254188
Italy,281583,35577,211272
Iraq,273821,7732,209993
Germany,256568,9411,222899
Philippines,248947,4066,186058
Indonesia,207203,8456,147510
Ukraine,145612,3023,65877
Israel,143049,1055,109775
Canada,134294,9155,118271
Bolivia,123345,7146,77216
Qatar,121052,205,117978
Ecuador,110092,10576,91242
Kazakhstan,106584,1634,100248
Dominican Republic,100937,1914,74305
Egypt,100403,5577,80689
Romania,99684,4065,41010
Panama,99042,2116,71419
Kuwait,92082,552,82222
Belgium,89691,9917,19188
Oman,87939,751,83115
Sweden,86144,5843,No data
China,85153,4634,80358
Guatemala,78721,2890,67462
Netherlands,78511,6249,No data
Morocco,77878,1453,59723
United Arab Emirates,75981,393,67359
Belarus,73591,732,72203
Japan,73221,1406,64835
Poland,72453,2159,58069
Honduras,65597,2044,15064
Portugal,61541,1849,43284
Ethiopia,60784,949,22677
Singapore,57166,27,56492
Bahrain,56778,202,51574
Venezuela,56751,452,45318
Nigeria,55632,1070,43610
Costa Rica,51224,543,19544
Nepal,50465,317,35700
Algeria,47216,1581,33379
Switzerland,45711,1737,38300
Armenia,45326,906,41233
Ghana,45313,283,44188
Uzbekistan,45160,368,42212
Kyrgyzstan,44684,1063,40487
Moldova,41144,1096,29420
Afghanistan,38572,1420,31129
Azerbaijan,37732,555,35119
Kenya,35460,607,21557
Serbia,32078,728,30702
Austria,31247,748,26043
Czech Republic,31036,444,20374
Ireland,30164,1781,24000
Palestine,28664,198,18821
El Salvador,26688,774,17106
Australia,26513,788,23031
Paraguay,25026,474,12309
Bosnia and Herzegovina,22544,680,15273
Lebanon,21877,212,7024
South Korea,21743,346,17360
Libya,20462,324,2329
Cameroon,19604,414,18448
Ivory Coast,18778,119,17688
Denmark,18607,628,15990
Bulgaria,17435,702,12474
Puerto Rico,17248,512,1359
Madagascar,15435,206,14219
North Macedonia,15293,634,12754
Kosovo,14377,574,10926
Senegal,14102,293,10176
Sudan,13437,833,6730
Zambia,12952,296,11787
Croatia,12917,208,10142
Greece,12080,293,6486
Norway,11623,264,9348
Albania,10704,322,6284
DR Congo,10292,260,9501
Guinea,9848,63,9009
Malaysia,9583,128,9143
Hungary,10 191,630,3990
Namibia,9108,93,4640
Tajikistan,8899,71,7683
Maldives,8834,31,6288
Gabon,8608,53,7533
Haiti,8376,214,591
Finland,8340,336,7350
Zimbabwe,7429,222,5542
Mauritania,7142,160,6669
Luxembourg,6950,124,6126
Montenegro,5875,112,4312
Malawi,5621,176,3590
Djibouti,5388,60,5327
Tunisia,5124,94,1788
Hong Kong,4902,99,4557
Equatorial Guinea,4985,83,4454
Eswatini,4904,96,4059
Congo,4891,83,3887
Slovakia,4888,37,2947
Central African Republic,4729,62,1818
Nicaragua,4668,141,2913
Mozambique,4557,27,2697
Suriname,4447,92,3622
Rwanda,4409,19,2271
Cape Verde,4358,42,3790
Cuba,4352,102,3642
Uganda,3776,44,1741
Thailand,3454,58,3310
Jamaica,3437,38,1019
Somalia,3362,97,2738
Syria,3229,137,744
Lithuania,3199,86,2030
The Gambia,3196,99,1324
Slovenia,3190,135,2530
Sri Lanka,3140,12,2946
Angola,3092,126,1245
Mali,2870,127,2246
Aruba,2730,15,1351
Donetsk PR,2706,153,1338
Bahamas,2721,63,1189
Estonia,2600,64,2215
Trinidad and Tobago,2588,39,749
South Sudan,2545,48,1290
Jordan,2478,17,1817
Guinea-Bissau,2205,34,1127
Benin,2194,40,1793
Malta,2162,14,1760
Iceland,2150,10,2060
Sierra Leone,2067,72,1622
Myanmar,2009,14,553
Yemen,1994,576,1203
Guam,1846,21,744
Georgia,1830,19,1334
Uruguay,1712,45,1476
Guyana,1703,48,1045
Cyprus,1510,22,1237
Togo,1493,33,1114
Burkina Faso,1452,55,1103
Latvia,1443,35,1187
New Zealand,1441,24,1297
Belize,1361,16,321
Liberia,1311,82,1190
Andorra,1261,53,934
U.S. Virgin Islands,1191,18,1070
Niger,1178,69,1099
Lesotho,1164,31,568
